FOLIO_PERSONAL,DOCUMENTO,CUIL,APELLIDO,NOMBRE,DOMICILIO,INHIBIENTE,MONTO,CARATULA,JUZGADO,FECHA,ENTRO,ALCANCE,OBSERVACIONES,VIGENCIA
1073/1,50534695,21-85572206-0,LOPEZ,ISABELLA,"DIAGONAL RESISTENCIA 3895",AFIP,NULL,"CONCURSO PREVENTIVO - ORTIZ ALMA","JUZGADO N┬░ 9",2016-03-09,NULL,NULL,NULL,CADUCADO
10859/17,74560903,22-68451314-8,PEREZ,SOFIA,"CALLE G├£EMES 4846",NULL,859164,"CONCURSO PREVENTIVO - RUIZ VICTORIA","JUZGADO N┬░ 28",2017-12-12,NULL,NULL,NULL,NULL
1089/10,30944281,NULL,ROMERO,JULIA,"CALLE TUCUM├üN 2048","BANCO NACI├ôN",936939,"CONCURSO PREVENTIVO - GOMEZ NAHUEL","JUZGADO N┬░ 27",2024-12-16,NULL,NULL,NULL,NULL
10978/16,13692500,25-20512564-4,AGUERO,AGUSTIN,"CALLE SAN MIGUEL DE TUCUM├üN 2775",NULL,NULL,"EJECUCI├ôN FISCAL - MIRANDA MARTIN","JUZGADO N┬░ 29",2023-01-28,NULL,NULL,NULL,ACTIVO
11215/25,54931729,24-72240786-6,FERNANDEZ,"JUAN PABLO","BLV. CORRIENTES 4469","BANCO NACI├ôN",NULL,"EJECUCI├ôN FISCAL - MARTINEZ VALENTINA",NULL,2023-11-08,NULL,NULL,NULL,NULL
11234/17,NULL,23-38349725-5,CASTILLO,BIANCA,"CALLE SAN JUAN 3760","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - HERNANDEZ MARTINA",NULL,2019-04-16,NULL,NULL,,NULL
11364/9,69326372,25-75934845-7,MARTINEZ,IGNACIO,"DIAGONAL CHILECITO 2159","FISCO DE LA PROVINCIA",NULL,NULL,NULL,2023-01-20,2022-10-26,NULL,NULL,NULL
11384/7,32754664,23-69498670-8,NULL,ISABELLA,"CAMINO C├ôRDOBA 1542","BANCO NACI├ôN",528655,"COBRO DE PESOS - SANCHEZ JAZMIN",NULL,2019-11-28,NULL,TOTAL,NULL,NULL
11466/22,24748484,20-98077024-9,RODRIGUEZ,"MATEO BENJAMIN","BOULEVARD 5 79","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - BENITEZ SOF├ìA","JUZGADO N┬░ 23",2025-07-09,NULL,NULL,NULL,NULL
11478/5,94315337,23-97770114-6,SANCHEZ,BAUTISTA,"BOULEVARD CORRIENTES 100","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - SANCHEZ LORENZO",NULL,2018-03-16,NULL,NULL,NULL,NULL
11586/9,38493529,23-90031578-1,GODOY,"ZOE JAZMIN","DIAGONAL SAN MIGUEL DE TUCUM├üN 1093",AFIP,96277,"EJECUCI├ôN FISCAL - CASTRO FELIPE","JUZGADO N┬░ 5",2022-08-31,NULL,NULL,NULL,CADUCADO
11612/2,14300070,25-53048047-1,RODRIGUEZ,LUCA,"DIAGONAL CATAMARCA 656","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"COBRO DE PESOS - FRANCO SANTINO NICOLAS","JUZGADO N┬░ 24",2021-02-17,2024-01-12,NULL,NULL,ACTIVO
11653/11,83298165,27-26459339-2,RODRIGUEZ,NULL,"AVENIDA G. BROWN 2908","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",388559,"EJECUCI├ôN FISCAL - ROLDAN TIZIANO","JUZGADO N┬░ 27",2020-07-25,NULL,NULL,"SIN OBSERVACIONES",CADUCADO
11660/3,NULL,27-67847935-9,NULL,LOLA,"CALLE MERLO 2255","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"COBRO DE PESOS - ROMERO ISABELLA",NULL,2016-07-02,NULL,TOTAL,,NULL
11685/24,23084520,20-53958507-4,SILVA,###,"CALLE 9 1155",NULL,NULL,"CONCURSO PREVENTIVO - GONZALEZ UMA ",NULL,2025-05-23,2025-05-27,NULL,NULL,CADUCADO
11899/1,43133630,22-16014344-2,SOSA,HELENA,"BLV. G. BROWN 3415","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"COBRO DE PESOS - PERALTA LAUTARO",NULL,2021-10-14,2021-11-23,NULL,"EN REVISI├ôN",ACTIVO
11987/9,68977762,25-17206144-7,MOYANO,EMILIA,"CALLE SAN SALVADOR DE JUJUY 4209","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - TOLEDO ISABELLA",NULL,2017-02-22,NULL,PARCIAL,NULL,ACTIVO
12048/17,86040911,25-26987988-9,BENITEZ,LOLA,"AV. USHUAIA 449","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"COBRO DE PESOS - DIAZ MILENA",NULL,2025-02-26,NULL,NULL,"SIN OBSERVACIONES",NULL
1218/15,82867404,27-14223214-4,FIGUEROA,NULL,"AV. CORRIENTES 2881",AFIP,NULL,NULL,"JUZGADO N┬░ 20",2018-04-16,NULL,NULL,NULL,ACTIVO
12247/12,14753823,26-55874842-4,PEREZ,"JUAN GABRIEL","AV. MALVINAS ARGENTINAS 672",NULL,466777,"EJECUCI├ôN FISCAL - VERA JUAN IGNACIO","JUZGADO N┬░ 14",2025-01-26,2024-05-12,NULL,NULL,NULL
12314/11,51110736,20-24212589-8,NAVARRO,"IAN EZEQUIEL",NULL,AFIP,875969,"EJECUCI├ôN FISCAL - GUZMAN EMA","JUZGADO N┬░ 11",NULL,NULL,TOTAL,NULL,NULL
12395/12,97449778,21-89652172-4,AGUERO,VALENTINA,"AV. 9 4732",AFIP,954331,"COBRO DE PESOS - CASTRO CIRO",NULL,2016-09-25,2024-10-03,TOTAL,NULL,CADUCADO
12465/20,34913168,20-72084227-9,GARCIA,VALENTINO,"DIAGONAL MISIONES 1146","BANCO NACI├ôN",NULL,NULL,"JUZGADO N┬░ 10",2018-07-15,2020-12-09,NULL,NULL,CADUCADO
12601/4,84476451,26-79597650-1,GARCIA,"IAN BENJAMIN","CAMINO SANTA FE 4244","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",55439,"CONCURSO PREVENTIVO - ROJAS THIAGO","JUZGADO N┬░ 25",2023-12-13,NULL,NULL,,NULL
12628/16,60571775,NULL,MANSILLA,"JUAN MARTIN",NULL,"BANCO NACI├ôN",NULL,"CONCURSO PREVENTIVO - CAMPOS MARIA VICTORIA","JUZGADO N┬░ 26",2019-08-07,NULL,NULL,NULL,CADUCADO
12637/23,31243097,24-76669221-2,OJEDA,SOFIA,???,NULL,NULL,"CONCURSO PREVENTIVO - LOPEZ THIAGO BENJAMIN","JUZGADO N┬░ 23",2024-05-04,NULL,TOTAL,NULL,NULL
12640/12,85491974,27-99821412-5,MANSILLA,SANTINO,"AVENIDA VIEDMA 1769","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - RIVERO JOAQUINA",NULL,2018-04-20,2021-05-16,NULL,NULL,CADUCADO
12692/20,25078214,21-13622140-9,VELAZQUEZ,FELIPE,"AVENIDA SAN SALVADOR DE JUJUY 4860",NULL,NULL,"COBRO DE PESOS - ROMERO VALENTINA JAZMIN","JUZGADO N┬░ 1",2018-05-26,NULL,NULL,NULL,CADUCADO
12695/24,89476448,21-69940907-6,NU├æEZ,BAUTISTA,"AV. LA RIOJA 321",NULL,855687,"CONCURSO PREVENTIVO - GODOY SANTIAGO BENJAMIN",NULL,NULL,NULL,NULL,NULL,ACTIVO
12708/7,65377118,NULL,SANCHEZ,MAIA,"BOULEVARD OMAR NU├æEZ 1136","FISCO DE LA PROVINCIA",NULL,"CONCURSO PREVENTIVO - GARCIA GAEL","JUZGADO N┬░ 17",2023-06-14,2022-10-31,NULL,NULL,ACTIVO
12749/21,15415675,23-40267448-8,GOMEZ,"LAUTARO GABRIEL","BLV. 7 2792","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - GARCIA EMILIA","JUZGADO N┬░ 30",2017-07-15,NULL,NULL,NULL,NULL
12871/8,88747279,27-11201015-1,SUAREZ,LORENZO,"DIAG. CHACO 2455","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",17911,"EJECUCI├ôN FISCAL - AVILA JUAN MANUEL","JUZGADO N┬░ 12",2024-12-08,NULL,NULL,NULL,CADUCADO
12879/3,71149366,NULL,VELAZQUEZ,IGNACIO,"BOULEVARD 3 4566",NULL,122521,"COBRO DE PESOS - SUAREZ FELICITAS","JUZGADO N┬░ 10",2020-10-20,NULL,PARCIAL,NULL,CADUCADO
12939/17,65883246,21-63340621-7,SANCHEZ,"JUAN IGNACIO","AV. CATAMARCA 1143","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - LOPEZ OLIVIA","JUZGADO N┬░ 14",2018-08-23,2024-02-06,NULL,NULL,NULL
12952/18,67622745,21-17161784-5,SANCHEZ,"THIAGO BENJAMIN",NULL,NULL,NULL,"EJECUCI├ôN FISCAL - NU├æEZ IAN EZEQUIEL",NULL,2016-04-19,NULL,NULL,NULL,NULL
13028/23,79471519,20-71467409-1,CASTRO,"THIAGO NAHUEL","DIAGONAL SANTA ROSA 2372",AFIP,76540,"COBRO DE PESOS - DOMINGUEZ DELFINA","JUZGADO N┬░ 5",2022-05-25,NULL,NULL,NULL,ACTIVO
13051/7,20041598,NULL,MARTINEZ,"MARIA LUZ","AVENIDA MISIONES 4446","FISCO DE LA PROVINCIA",NULL,NULL,"JUZGADO N┬░ 23",2021-10-15,2022-09-17,NULL,NULL,NULL
13078/1,30137270,22-99634054-4,FLORES,BIANCA,"AVENIDA ALEM 3283",NULL,326915,"COBRO DE PESOS - GOMEZ JULIAN","JUZGADO N┬░ 16",2023-03-14,NULL,NULL,NULL,ACTIVO
13089/4,70809837,21-18819937-0,LOPEZ,ABRIL,"AVENIDA 2 2931","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - ARIAS LARA","JUZGADO N┬░ 6",2018-04-07,2020-03-25,NULL,"EN REVISI├ôN",NULL
1316/23,17648611,20-95733387-2,QUIROGA,LOLA,"AVENIDA 1 4880",NULL,544572,"EJECUCI├ôN FISCAL - CASTILLO JERONIMO",NULL,2016-05-17,NULL,NULL,NULL,NULL
13181/21,51660736,25-71723775-2,QUIROGA,VALENTINO,"AV. FORMOSA 3439",AFIP,NULL,"CONCURSO PREVENTIVO - BUSTOS SOFIA",NULL,2017-01-21,2023-03-07,PARCIAL,,NULL
13274/5,74480269,0000,PEREZ,SIMON,"BLV. SALTA 856","FISCO DE LA PROVINCIA",137241,NULL,NULL,2019-08-06,2022-10-28,PARCIAL,NULL,NULL
13472/21,55948703,24-97060434-1,MEDINA,JULIA,"AV. SAAVEDRA 4045","FISCO DE LA PROVINCIA",443769,"EJECUCI├ôN FISCAL - RUIZ TIZIANO",NULL,2022-06-25,NULL,NULL,NULL,NULL
13508/18,45375735,23-54455428-9,SUAREZ,IGNACIO,"BOULEVARD MITRE 1866","FISCO DE LA PROVINCIA",110458,"EJECUCI├ôN FISCAL - QUIROGA OLIVIA",NULL,2023-12-08,NULL,TOTAL,"SIN OBSERVACIONES",NULL
13519/1,25532996,23-29507788-3,MOYANO,0000,"CALLE SAN FERANDO DEL VALLE DE CATAMARCA 3034",NULL,NULL,"CONCURSO PREVENTIVO - CRUZ LUCA","JUZGADO N┬░ 22",2017-01-29,NULL,NULL,NULL,ACTIVO
13542/12,???,NULL,RODRIGUEZ,CIRO,"CALLE OMAR NU├æEZ 3750",AFIP,NULL,"CONCURSO PREVENTIVO - GOMEZ MATEO BENJAMIN",NULL,2016-05-22,NULL,NULL,NULL,ACTIVO
13559/17,65523853,21-24792930-3,VILLALBA,MARTIN,"AVENIDA POSADAS 2592","BANCO NACI├ôN",222173,"CONCURSO PREVENTIVO - SOSA BRUNO","JUZGADO N┬░ 17",2023-11-22,NULL,NULL,"SIN OBSERVACIONES",NULL
13624/14,72249247,24-42522241-2,CARRIZO,"JUAN MANUEL","CALLE SAAVEDRA 1430","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",31059,"COBRO DE PESOS - FERNANDEZ ZOE VALENTINA",NULL,2020-08-07,2024-04-03,TOTAL,NULL,NULL
13636/7,31637409,25-93417512-9,JUAREZ,LUCIANA,NULL,"ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - TORRES THIAGO BENJAMIN","JUZGADO N┬░ 24",2024-10-07,NULL,NULL,NULL,CADUCADO
13637/9,15343931,22-45519400-9,MORENO,LUISINA,"AVENIDA MERLO 3574","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"COBRO DE PESOS - RODRIGUEZ KIARA",NULL,NULL,NULL,NULL,NULL,NULL
13670/13,NULL,24-81359003-9,SANCHEZ,EMANUEL,"AVENIDA 9 2847","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",364869,"CONCURSO PREVENTIVO - CHAVEZ CIRO",NULL,2024-05-29,NULL,PARCIAL,NULL,ACTIVO
13684/13,42310881,23-39121816-2,CHAVEZ,SANTINO,"DIAG. 4 1659",AFIP,93128,"EJECUCI├ôN FISCAL - MORALES FRANCISCO","JUZGADO N┬░ 1",2021-07-10,NULL,NULL,NULL,ACTIVO
13719/21,68016892,26-64864552-9,GUTIERREZ,EMMA,"CAMINO 3 2304",AFIP,NULL,"EJECUCI├ôN FISCAL - GUTIERREZ BRUNO","JUZGADO N┬░ 1",2019-10-21,NULL,NULL,NULL,CADUCADO
13780/18,92201664,24-53334692-8,NULL,JULIA,"AVENIDA TIERRA DEL FUEGO 4125","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",300212,"EJECUCI├ôN FISCAL - TORRES SANTIAGO","JUZGADO N┬░ 21",2020-07-06,NULL,NULL,NULL,NULL
1391/14,49814424,24-31715771-6,SOSA,JULIETA,"DIAG. JUJUY 3338",AFIP,NULL,"CONCURSO PREVENTIVO - MEDINA OLIVIA","JUZGADO N┬░ 17",2022-02-16,NULL,NULL,NULL,NULL
1395/25,71521104,22-59354541-7,CACERES,AMBAR,"AVENIDA SANTA FE 686","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",422754,"EJECUCI├ôN FISCAL - GIMENEZ IAN","JUZGADO N┬░ 27",2024-05-29,NULL,NULL,"EN REVISI├ôN",ACTIVO
13956/14,51119044,27-89053179-9,RIOS,SOF├ìA,"AV. SAN MIGUEL DE TUCUM├üN 248","BANCO NACI├ôN",NULL,"COBRO DE PESOS - HERRERA GUILLERMINA","JUZGADO N┬░ 11",2024-05-26,NULL,TOTAL,,ACTIVO
14001/22,62746725,23-36225810-5,CASTILLO,"ANGEL GABRIEL",NULL,NULL,545519,"EJECUCI├ôN FISCAL - GUTIERREZ MILENA",NULL,2018-11-15,2021-08-14,PARCIAL,NULL,NULL
14047/17,13503544,26-64517598-3,TORRES,BENJAMIN,"DIAGONAL SALTA 276","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - MARTINEZ JAZM├ìN","JUZGADO N┬░ 13",2021-10-12,2022-02-17,NULL,NULL,NULL
14085/25,80217924,22-54351375-0,GIMENEZ,ANTONELLA,"DIAG. MALVINAS ARGENTINAS 4464","BANCO NACI├ôN",279642,"CONCURSO PREVENTIVO - SOSA TOM├ÇS","JUZGADO N┬░ 21",2018-02-02,NULL,TOTAL,"SIN OBSERVACIONES",NULL
14148/10,NULL,24-94873150-2,RODRIGUEZ,NULL,"DIAGONAL R├ìO NEGRO 1916","BANCO NACI├ôN",956756,"COBRO DE PESOS - RUIZ BENJAMIN",NULL,2019-10-04,NULL,PARCIAL,NULL,NULL
14345/20,10201274,22-86106923-4,TORRES,JUANA,"DIAGONAL SAN MARTIN 3798","BANCO NACI├ôN",152449,"EJECUCI├ôN FISCAL - FLORES DELFINA",NULL,2019-05-18,NULL,NULL,NULL,ACTIVO
14364/8,51198437,26-86790045-4,GOMEZ,MILENA,0000,NULL,463666,"COBRO DE PESOS - LUCERO TIZIANO","JUZGADO N┬░ 26",2022-11-27,2023-03-01,TOTAL,NULL,CADUCADO
14430/15,94127531,26-65997723-3,RODRIGUEZ,THIAGO,"AVENIDA SAN LUIS 3283",NULL,NULL,"EJECUCI├ôN FISCAL - CASTRO MATEO BENJAMIN","JUZGADO N┬░ 15",2019-06-18,NULL,NULL,NULL,NULL
14430/20,97656347,23-93876185-6,GUTIERREZ,"TIZIANO BENJAMIN",NULL,NULL,NULL,"EJECUCI├ôN FISCAL - GARCIA MAXIMO","JUZGADO N┬░ 2",2023-12-19,NULL,NULL,,NULL
1446/11,39744161,20-51055363-4,ORTIZ,JOAQUIN,"AV. R├ìO GALLEGOS 4635","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",731403,"CONCURSO PREVENTIVO - DIAZ CAMILA","JUZGADO N┬░ 4",2024-07-28,2021-07-06,NULL,NULL,ACTIVO
14547/19,0000,26-82853469-2,GONZALEZ,MARTINA,"BLV. 7 3126","BANCO NACI├ôN",842524,"COBRO DE PESOS - RAMOS ALMA","JUZGADO N┬░ 29",2016-04-02,2024-08-28,NULL,NULL,CADUCADO
1457/24,42701621,24-57096295-1,DIAZ,BAUTISTA,"AVENIDA BELGRANO 986",AFIP,NULL,"EJECUCI├ôN FISCAL - FRANCO ELENA",NULL,2017-09-23,NULL,NULL,NULL,ACTIVO
14585/9,66294341,27-14322686-6,PEREZ,"   ",###,"BANCO NACI├ôN",312241,NULL,"JUZGADO N┬░ 6",2023-04-17,NULL,NULL,NULL,NULL
1460/22,10913439,27-18859058-5,NU├æEZ,JAZMIN,"DIAGONAL MERLO 303","BANCO NACI├ôN",NULL,"COBRO DE PESOS - RUIZ MART├ìN",NULL,2020-05-14,NULL,NULL,NULL,NULL
14630/7,75660503,25-86791131-0,SOTO,EMILIA,"AV. TIERRA DEL FUEGO 1005","BANCO NACI├ôN",891649,"CONCURSO PREVENTIVO - MAIDANA SALVADOR","JUZGADO N┬░ 18",2017-09-22,NULL,NULL,,CADUCADO
14662/14,91408203,21-49754976-8,QUIROGA,FELIPE,"CALLE J.J. CASTELLI 2076","BANCO NACI├ôN",NULL,"EJECUCI├ôN FISCAL - PAZ MALENA",NULL,2024-11-25,2021-03-17,NULL,NULL,CADUCADO
14670/19,61470839,21-58409023-4,GODOY,ORIANA,NULL,"ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - MOLINA ANA PAULA","JUZGADO N┬░ 10",2018-08-22,NULL,PARCIAL,NULL,ACTIVO
14720/23,35098962,24-15330876-4,MOYANO,"JUAN MARTIN","AVENIDA 5 2631","BANCO NACI├ôN",50727,"EJECUCI├ôN FISCAL - NU├æEZ TOMAS",NULL,2019-05-26,NULL,NULL,NULL,NULL
14749/1,35191432,27-73169155-6,MORALES,"MATEO BENJAMIN","AV. BAH├ìA BLANCA 1468","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",490522,"COBRO DE PESOS - FLORES BAUTISTA",NULL,2024-03-30,2024-10-16,NULL,NULL,NULL
14759/10,Existen.,20-77563948-4,ROLDAN,LAUTARO,"BOULEVARD 5 3281",NULL,847084,"EJECUCI├ôN FISCAL - MEDINA ISABELLA",NULL,2024-04-16,2021-09-08,NULL,"SIN OBSERVACIONES",NULL
14824/2,82637459,26-74647745-7,RODRIGUEZ,MANUEL,"AVENIDA R├ìO NEGRO 1733","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - LOPEZ GENARO","JUZGADO N┬░ 26",2020-11-11,2023-09-29,NULL,"EN REVISI├ôN",ACTIVO
14826/23,63711286,21-83092477-3,FIGUEROA,MAXIMO,"BLV. BELGRANO 2923","FISCO DE LA PROVINCIA",451735,"CONCURSO PREVENTIVO - BUSTOS CLARA","JUZGADO N┬░ 7",2021-05-05,NULL,NULL,,ACTIVO
14873/24,23214412,20-80016987-5,ROJAS,MILO,"AVENIDA 2 4871","FISCO DE LA PROVINCIA",372736,"EJECUCI├ôN FISCAL - SANCHEZ VALENTINA","JUZGADO N┬░ 12",2024-01-09,2022-11-05,NULL,NULL,CADUCADO
14944/14,NULL,26-47055360-9,NULL,TOM├ÇS,"DIAGONAL SANTA CRUZ 4868","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",709608,NULL,"JUZGADO N┬░ 29",2017-12-19,NULL,NULL,NULL,NULL
15013/19,86994446,21-75365925-2,RODRIGUEZ,"JUAN CRUZ","AV. BELGRANO 1385",AFIP,NULL,NULL,NULL,2023-02-10,NULL,NULL,NULL,CADUCADO
15014/20,NULL,25-51756880-1,BENITEZ,JAZMIN,"AV. R├ìO GALLEGOS 810","FISCO DE LA PROVINCIA",617233,"CONCURSO PREVENTIVO - AVILA JOAQUIN",NULL,2021-03-31,2023-04-07,TOTAL,NULL,NULL
15060/6,28034061,20-29971403-7,MARTINEZ,"THIAGO EZEQUIEL","BLV. BAH├ìA BLANCA 1441","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - ROLDAN LUCIANO BENJAMIN","JUZGADO N┬░ 20",2019-04-02,NULL,NULL,NULL,NULL
15081/11,"   ",25-71115300-4,DIAZ,OLIVIA,NULL,"BANCO NACI├ôN",NULL,"EJECUCI├ôN FISCAL - FERREYRA PILAR",NULL,2022-01-06,NULL,NULL,NULL,ACTIVO
15090/11,85136186,NULL,LUCERO,TOM├ÇS,"AVENIDA SAN SALVADOR DE JUJUY 2827",AFIP,NULL,"CONCURSO PREVENTIVO - FARIAS MATIAS","JUZGADO N┬░ 4",2016-12-10,NULL,NULL,NULL,NULL
15101/17,36530825,24-71412586-0,JUAREZ,VALENTINO,"CAMINO SAN LUIS 819","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",634493,"COBRO DE PESOS - ORTIZ ORIANA","JUZGADO N┬░ 20",2021-06-12,2022-04-13,NULL,NULL,NULL
15183/19,71061800,Podemos.,LOPEZ,BENJAMIN,"AVENIDA JUJUY 2963","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - CORREA BENJAMIN",NULL,2024-12-14,2024-02-25,NULL,NULL,NULL
15203/7,69861534,22-27881131-0,LEDESMA,"MIA JAZMIN",NULL,"FISCO DE LA PROVINCIA",554015,"EJECUCI├ôN FISCAL - AGUIRRE CIRO BENJAMIN","JUZGADO N┬░ 30",2018-03-31,NULL,NULL,NULL,CADUCADO
15233/19,NULL,NULL,NULL,ZOE,NULL,"BANCO NACI├ôN",NULL,NULL,"JUZGADO N┬░ 30",2018-07-30,NULL,NULL,NULL,NULL
15260/25,40421682,24-50354969-0,PAZ,IGNACIO,"AV. COMODORO RIVADAVIA 64","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - LOPEZ ANA PAULA",NULL,2019-09-29,NULL,NULL,NULL,NULL
